======================================================================
  1000x1000 ATLAS SCAN
  Potential: 1/r   Epsilon: 5e-03
  Grid: 1000x1000   Rows: 400-499
  Workers: 15   Samples/point: 400
  Output: atlas_1000/1_r/block_0400_0500/
======================================================================

  Building symbolic algebra...
  Building symbolic generators for Newtonian (1/r)...
    Level 2: 12 generators (0 zero)
    Level 3: 138 generators (0 zero)
    Total: 156 generators, 156 non-zero
    Compiling evaluator...
    Lambdifying 156 expressions individually...
      20/156  [0.7s]
      40/156  [127.1s]
      60/156  [271.5s]
      80/156  [505.7s]
      100/156  [682.2s]
      120/156  [786.2s]
      140/156  [876.2s]
      156/156  [904.4s]
    Total lambdify time: 905.0s
  Algebra ready (1370.7s)
  Algebra ready (1370.7s, 156 generators)

  Row   90/100  (global  489)  mu=2.4730  [  90000/100000]  row=220.5s  ETA=37m  ranks=[116,116]  gap=[2.5e+05,2.0e+07]
  Row   91/100  (global  490)  mu=2.4779  [  91000/100000]  row=219.0s  ETA=33m  ranks=[116,116]  gap=[1.7e+05,2.1e+07]
  Row   92/100  (global  491)  mu=2.4829  [  92000/100000]  row=220.0s  ETA=29m  ranks=[116,116]  gap=[1.7e+05,2.2e+07]
  Row   93/100  (global  492)  mu=2.4878  [  93000/100000]  row=219.0s  ETA=26m  ranks=[116,116]  gap=[2.5e+05,2.0e+07]
  Row   94/100  (global  493)  mu=2.4928  [  94000/100000]  row=220.7s  ETA=22m  ranks=[116,116]  gap=[2.0e+05,1.9e+07]
  Row   95/100  (global  494)  mu=2.4977  [  95000/100000]  row=217.4s  ETA=18m  ranks=[116,116]  gap=[2.0e+05,1.9e+07]
  Row   96/100  (global  495)  mu=2.5027  [  96000/100000]  row=217.4s  ETA=15m  ranks=[116,116]  gap=[2.2e+05,2.0e+07]
  Row   97/100  (global  496)  mu=2.5077  [  97000/100000]  row=217.6s  ETA=11m  ranks=[116,116]  gap=[1.8e+05,1.9e+07]
  Row   98/100  (global  497)  mu=2.5126  [  98000/100000]  row=217.4s  ETA=7m  ranks=[116,116]  gap=[2.4e+05,1.8e+07]
  Row   99/100  (global  498)  mu=2.5176  [  99000/100000]  row=217.8s  ETA=4m  ranks=[116,116]  gap=[2.1e+05,1.9e+07]
  Row  100/100  (global  499)  mu=2.5225  [ 100000/100000]  row=215.9s  ETA=0m  ranks=[116,116]  gap=[1.9e+05,1.8e+07]

======================================================================
  BLOCK COMPLETE: rows 400-499
  Time: 21955s (6.1h)
  Rank range: [116, 116]
  Gap range:  [3.34e+04, 3.91e+07]
======================================================================
